length,minimum_cost,dataset,algorithm,time_ns
1,2,normal,dynamic programming,2900
2,32,normal,dynamic programming,12567
3,42,normal,dynamic programming,20833
4,68,normal,dynamic programming,35733
5,92,normal,dynamic programming,61500
6,96,normal,dynamic programming,98134
7,96,normal,dynamic programming,146134
8,72,normal,dynamic programming,160901
9,140,normal,dynamic programming,215368
10,172,normal,dynamic programming,304535
11,192,normal,dynamic programming,372602
12,174,normal,dynamic programming,416169
13,206,normal,dynamic programming,476536
14,234,normal,dynamic programming,589237
15,238,normal,dynamic programming,646371
1,25,empty,dynamic programming,933
2,50,empty,dynamic programming,833
3,75,empty,dynamic programming,866
4,100,empty,dynamic programming,600
5,125,empty,dynamic programming,700
6,150,empty,dynamic programming,1133
7,175,empty,dynamic programming,700
8,200,empty,dynamic programming,900
9,225,empty,dynamic programming,866
10,250,empty,dynamic programming,900
11,275,empty,dynamic programming,800
12,300,empty,dynamic programming,800
13,325,empty,dynamic programming,1666
14,350,empty,dynamic programming,633
15,375,empty,dynamic programming,600
1,25,length,dynamic programming,533
2,31,length,dynamic programming,4800
3,60,length,dynamic programming,6966
4,54,length,dynamic programming,17867
5,89,length,dynamic programming,22666
6,89,length,dynamic programming,41366
7,124,length,dynamic programming,49334
8,114,length,dynamic programming,74267
9,169,length,dynamic programming,86834
10,153,length,dynamic programming,123601
11,182,length,dynamic programming,133268
12,204,length,dynamic programming,187002
13,213,length,dynamic programming,222402
14,191,length,dynamic programming,132634
15,240,length,dynamic programming,290737
1,12,substring,dynamic programming,2866
2,32,substring,dynamic programming,8033
3,22,substring,dynamic programming,19567
4,56,substring,dynamic programming,34900
5,18,substring,dynamic programming,35533
6,44,substring,dynamic programming,93568
7,88,substring,dynamic programming,113834
8,64,substring,dynamic programming,117934
9,116,substring,dynamic programming,207768
10,90,substring,dynamic programming,233936
11,70,substring,dynamic programming,376137
12,100,substring,dynamic programming,568906
13,128,substring,dynamic programming,679107
14,110,substring,dynamic programming,730341
15,118,substring,dynamic programming,648473
1,0,transpose,dynamic programming,1166
2,8,transpose,dynamic programming,6633
3,6,transpose,dynamic programming,7300
4,20,transpose,dynamic programming,23000
5,23,transpose,dynamic programming,23799
6,42,transpose,dynamic programming,61199
7,34,transpose,dynamic programming,60233
8,37,transpose,dynamic programming,144599
9,29,transpose,dynamic programming,123532
10,26,transpose,dynamic programming,209798
11,60,transpose,dynamic programming,225698
12,48,transpose,dynamic programming,342731
13,74,transpose,dynamic programming,443264
14,74,transpose,dynamic programming,441397
15,90,transpose,dynamic programming,426997
1,2,normal,brute force,400
2,32,normal,brute force,700
3,42,normal,brute force,3000
4,68,normal,brute force,13300
5,92,normal,brute force,82834
6,96,normal,brute force,461871
7,96,normal,brute force,2662124
8,72,normal,brute force,6471992
9,140,normal,brute force,52145510
10,172,normal,brute force,258563767
11,192,normal,brute force,1625932761
12,174,normal,brute force,3040207803
13,206,normal,brute force,32424512577
14,234,normal,brute force,176299694304
1,25,empty,brute force,66
2,50,empty,brute force,66
3,75,empty,brute force,166
4,100,empty,brute force,66
5,125,empty,brute force,233
6,150,empty,brute force,133
7,175,empty,brute force,100
8,200,empty,brute force,133
9,225,empty,brute force,333
10,250,empty,brute force,433
11,275,empty,brute force,400
12,300,empty,brute force,433
13,325,empty,brute force,433
14,350,empty,brute force,500
15,375,empty,brute force,433
1,25,length,brute force,166
2,31,length,brute force,233
3,60,length,brute force,1100
4,54,length,brute force,5933
5,89,length,brute force,8866
6,89,length,brute force,42333
7,124,length,brute force,86366
8,114,length,brute force,347230
9,169,length,brute force,551595
10,153,length,brute force,1146989
11,182,length,brute force,1122489
12,204,length,brute force,18348133
13,213,length,brute force,21696432
14,191,length,brute force,1739383
15,240,length,brute force,241363939
1,12,substring,brute force,200
2,32,substring,brute force,433
3,22,substring,brute force,1966
4,56,substring,brute force,10133
5,18,substring,brute force,5166
6,44,substring,brute force,119099
7,88,substring,brute force,457462
8,64,substring,brute force,334930
9,116,substring,brute force,22042562
10,90,substring,brute force,21243436
11,70,substring,brute force,403801926
12,100,substring,brute force,1415714034
13,128,substring,brute force,3295089119
14,110,substring,brute force,52412731580
15,DNF,substring,brute force,DNF
1,0,transpose,brute force,66
2,8,transpose,brute force,366
3,6,transpose,brute force,400
4,20,transpose,brute force,2633
5,23,transpose,brute force,2566
6,42,transpose,brute force,29567
7,34,transpose,brute force,19133
8,37,transpose,brute force,444804
9,29,transpose,brute force,457871
10,26,transpose,brute force,7688514
11,60,transpose,brute force,5529758
12,48,transpose,brute force,99730681
13,74,transpose,brute force,153542706
14,74,transpose,brute force,436574665
15,90,transpose,brute force,2782602061
